,PNR_Number,PNR_Email,Flight,Cabin
0,AH3KL0,shivam.g1106@gmail.com,"(Flight('Inventory ID: INV-ZZ-2887660, Departure City: MAA, Arrival City: IDR ,)","('FC',)"
1,CADQPF,shivam.g1106@gmail.com,"(Flight('Inventory ID: INV-ZZ-7994288, Departure City: CNN, Arrival City: MAA ,)","('FC',)"
2,DID2DD,shivam.g1106@gmail.com,"(Flight('Inventory ID: INV-ZZ-9629677, Departure City: LKO, Arrival City: IDR ,)","('FC',)"
3,AXMPOM,shivam.g1106@gmail.com,"(Flight('Inventory ID: INV-ZZ-1004193, Departure City: PAT, Arrival City: COK ,)","('FC',)"
4,AQ1GTY#1,shivam.g1106@gmail.com,"(Flight('Inventory ID: INV-ZZ-7752551, Departure City: CNN, Arrival City: CCU ,)","('FC',)"
5,EPUPN0#0,shivam.g1106@gmail.com,"(Flight('Inventory ID: INV-ZZ-2370284, Departure City: GOI, Arrival City: BLR ,)","('FC',)"
6,GCFZ3Q#2,shivam.g1106@gmail.com,"(Flight('Inventory ID: INV-ZZ-9110430, Departure City: GOI, Arrival City: DEL ,)","('FC',)"
7,BRQXSY#1,shivam.g1106@gmail.com,"(Flight('Inventory ID: INV-ZZ-1350452, Departure City: CNN, Arrival City: MAA ,)","('FC',)"
8,BJAUT5#1,shivam.g1106@gmail.com,"(Flight('Inventory ID: INV-ZZ-9629677, Departure City: LKO, Arrival City: IDR ,)","('FC',)"
9,EEOE0D#1,shivam.g1106@gmail.com,"(Flight('Inventory ID: INV-ZZ-3681606, Departure City: HYD, Arrival City: DEL ,)","('FC',)"
